name,ra,dec,vmag
Phecda,178.4576971525,53.6947597292,2.4400
Aludra,111.0237595010,-29.3031055085,2.4500
Izar,221.2467398258,27.0742223197,2.4500
Alderamin,319.6448846972,62.5855744637,2.4600
,257.5944336000,-15.7251428000,2.4630
Markeb,140.5284067083,-55.0106671342,2.4730
,311.5528011535,33.9703283436,2.4800
Markab,346.1902226914,15.2052671479,2.4800
Acrab,241.3592916667,-19.8053888889,2.5000
Lower Sword,83.8145833333,-5.9294444444,2.5000
,253.0000000000,-38.0333333333,2.5100
,182.0895734888,-50.7224273928,2.5200
Zosma,168.5270892659,20.5237181390,2.5300
Menkar,45.5698878033,4.0897387718,2.5300
,208.8849401986,-47.2883745110,2.5500
,249.2897502449,-10.5670860396,2.5600
Arneb,83.1825671617,-17.8222892722,2.5700
Gienah,183.9515450374,-17.5419304576,2.5800
Ascella,285.6530426563,-29.8800633010,2.5900
,104.0833333333,-24.7300000000,2.6000
,241.3592999275,-19.8054527828,2.6200
Mahasim,89.9302921761,37.2125846292,2.6200
Zubeneschamali,229.2517242491,-9.3829144103,2.6200
Unukalhai,236.0669754566,6.4256302202,2.6300
Kraz,188.5968121768,-23.3967602162,2.6400
,189.2959078692,-69.1355647886,2.6490
Phact,84.9122542996,-34.0741097197,2.6500
Sheratan,28.6600457888,20.8080314719,2.6500
Lesath,262.6909880117,-37.2958134753,2.6500
Kaus Media,275.2485120569,-29.8281022626,2.6680
Ruchbah,21.4539644621,60.2352840297,2.6800
Muphrid,208.6711621680,18.3977207172,2.6800
,224.6330223498,-43.1339638490,2.6800
,161.6923962414,-49.4202599390,2.6900
Hassaleh,74.2484167602,33.1660937721,2.6900
Ahadi,109.2856586586,-37.0974734635,2.7000
Tarazed,296.5649123093,10.6132587226,2.7200
,200.1492200650,-36.7123045812,2.7300
,245.9978597020,61.5142097609,2.7400
Porrima,190.4151176201,-1.4494039525,2.7400
Cebalrai,265.8681329574,4.5673036685,2.7500
Zubenelgenubi,222.7196378916,-16.0417765198,2.7500
Yed Prior,243.5864125911,-3.6943257851,2.7500
Imai,183.7863269961,-58.7489240768,2.7520
,160.7391748642,-64.3944502211,2.7600
,233.7852014477,-41.1667568690,2.7650
Hatysa,83.8582758050,-5.9098885235,2.7700
Kornephoros,247.5550013404,21.4896107456,2.7700
Vindemiatrix,195.5441542302,10.9591487217,2.7900
,6.4377931550,-77.2542461200,2.7900
Cursa,76.9623953546,-5.0864969840,2.7900
,250.3215043315,31.6027187038,2.8000
lam Ori Cluster,83.8837500000,9.7338888889,2.8000
Rastaban,262.6081737329,52.3013887086,2.8100
Tureis,121.8860367646,-24.3043244294,2.8100
Paikauhale,248.9706368875,-28.2160170875,2.8100
Kaus Borealis,276.9926696604,-25.4216984969,2.8100
,334.6254684887,-60.2596295447,2.8200
,190.3793073208,-48.9599123167,2.8200
Deneb Algedi,326.7601843313,-16.1272870853,2.8300
Algenib,3.3089681209,15.1835984296,2.8400
Nihal,82.0613453668,-20.7594438857,2.8400
,29.6922440976,-61.5698221532,2.8400
,58.5330103129,31.8836336839,2.8500
,238.7856752650,-63.4307265364,2.8500
,261.3249491888,-55.5298816878,2.8500
Tejat,95.7401119262,22.5135827459,2.8700
Alcyone,56.8711523037,24.1051356519,2.8700
,296.2436538443,45.1308146314,2.8700
Cor Caroli,194.0069399538,38.3183764363,2.8800
,250.3191978983,31.6045838784,2.8800
Albaldah,287.4409705250,-21.0236139819,2.8800
,190.3792307083,-48.9595768500,2.8800
,59.4634974242,40.0101997816,2.8900
Gomeisa,111.7876739054,8.2893157625,2.8900
Alniyat,245.2971488058,-25.5927920767,2.8900
,229.7274220386,-68.6795466737,2.8900
Sadalsuud,322.8897169835,-5.5711748281,2.8900
,239.7129718242,-26.1141079450,2.9100
,46.1992504637,53.5064618350,2.9300
Altaleban,102.4840381054,-50.6145386975,2.9300
Zaurak,59.5073575888,-13.5085148060,2.9400
Algorab,187.4660631842,-16.5154312617,2.9400
Sadalmelik,331.4459814409,-0.3198509554,2.9400
,262.9603813675,-49.8761450114,2.9500
Matar,340.7505368539,30.2212147137,2.9500
Minkar,182.5311690937,-22.6197672175,2.9800
Mebsuta,100.9830297966,25.1311271924,2.9800
,146.4628067369,23.7742537771,2.9800
,252.9676181453,-38.0473994640,2.9800
Almaaz,75.4922265361,43.8233103098,2.9900
,286.3525333979,13.8634772811,2.9900
